,Accuracy,F1-Score,AUC,Time,,
LogisticRegression,0.897857143,0.897863224,0.964151983,1.331618309,,
SGDClassifier,0.900892857,0.900924713,0.964142868,1.280214548,,
RandomForest,0.892357143,0.892394426,0.959060747,6.420640707,LogisticRegression,0.897857143
ExtraTrees,0.909714286,0.90972329,0.968803227,9.211400032,SGDClassifier,0.900892857
GradientBoosting,0.842857143,0.842611018,0.925047656,1.329306126,RandomForest,0.892357143
HistGBDT,0.89925,0.899254859,0.965603617,3.91131258,ExtraTrees,0.909714286
AdaBoost,0.808892857,0.808564278,0.893324823,12.12172508,GradientBoosting,0.842857143
Bagging,0.849607143,0.849665149,0.926356921,17.31123996,HistGBDT,0.89925
KNN,0.764964286,0.760090935,0.867136497,35.08606744,Bagging,0.849607143
MultinomialNB,0.852571429,0.852672972,0.929587286,1.107913971,MultinomialNB,0.852571429
DecisionTree,0.756571429,0.75665202,0.755907877,1.251426697,LDA,0.897535714
QDA,0.815607143,0.81545884,0.856713303,7.252176523,BernoulliNB,0.8705
LDA,0.897535714,0.897577858,0.962835555,1.139801502,ComplementNB,0.849535714
BernoulliNB,0.8705,0.870635994,0.942756058,2.647884846,NearestCentroid,0.859535714
ComplementNB,0.849535714,0.849660422,0.929592174,2.272619009,LightGBM,0.899964286
Dummy,0.532392857,0.369934058,0.5,2.730995655,XGBoost,0.896857143
GaussianNB,0.803821429,0.803919604,0.867028273,5.56442523,CatBoost,0.894571429
NearestCentroid,0.859535714,0.859677901,0.937361041,8.080334663,,
LabelPropagation,0.605535714,0.531068652,0.740340876,43.00112772,AdaBoost,0.808892857
LabelSpreading,0.606214286,0.531924298,0.737251419,42.32472157,GaussianNB,0.803821429
LightGBM,0.899964286,0.899973154,0.965962203,2.354625463,,
XGBoost,0.896857143,0.896860943,0.964025757,6.124306917,,
CatBoost,0.894571429,0.894573865,0.962464518,1.297463894,,
CumlRF,0.865071429,0.864735364,0.943150274,48.91503978,,
CumlSGD,0.768785714,0.755485823,0.754729712,41.3958199,,
Voting,0.90875,0.908763284,0.970534014,,,
Stacking,0.9135,0.913534791,0.972623227,,,
